period,date,one,two,three,four,five,six,special,
100000077,2011-09-27,09,42,23,03,26,31,41,
100000076,2011-09-23,27,23,16,14,44,28,40,
100000075,2011-09-20,28,25,27,34,02,37,42,
100000074,2011-09-16,48,28,23,36,30,15,45,
100000073,2011-09-13,11,48,02,41,08,38,18,
100000072,2011-09-09,12,08,15,36,01,47,10,
100000071,2011-09-06,41,29,38,23,09,02,08,
100000070,2011-09-02,30,05,35,22,24,02,42,
100000069,2011-08-30,48,26,36,37,10,12,34,
100000068,2011-08-26,10,31,45,33,32,43,30,
100000067,2011-08-23,42,29,23,32,05,36,14,
100000066,2011-08-19,32,41,18,30,13,48,45,
100000065,2011-08-16,43,42,26,38,30,37,32,
100000064,2011-08-12,12,22,45,02,40,14,04,
100000063,2011-08-09,49,25,27,33,38,40,12,
100000062,2011-08-05,03,28,25,49,24,20,30,
100000061,2011-08-02,27,17,45,24,42,28,31,
100000060,2011-07-29,19,38,46,28,06,37,42,
100000059,2011-07-26,02,08,29,36,35,13,14,
100000058,2011-07-22,08,22,06,04,05,38,42,
100000057,2011-07-19,17,37,20,47,49,02,36,
100000056,2011-07-15,43,49,23,30,27,17,31,
100000055,2011-07-12,24,41,08,31,35,37,19,
100000054,2011-07-08,43,37,47,16,18,35,07,
100000053,2011-07-05,15,02,28,01,32,18,26,
100000052,2011-07-01,09,49,23,44,31,25,02,
100000051,2011-06-28,33,27,13,11,15,23,04,
100000050,2011-06-24,38,11,27,21,19,39,24,
100000049,2011-06-21,46,10,01,13,40,42,41,
100000048,2011-06-17,01,02,31,19,47,48,36,
100000047,2011-06-14,33,21,31,17,48,05,25,
100000046,2011-06-10,29,06,37,10,41,19,09,
100000045,2011-06-07,39,03,31,22,27,08,14,
100000044,2011-06-03,12,08,15,13,46,35,30,
100000043,2011-05-31,43,32,38,05,09,15,12,
100000042,2011-05-27,48,10,43,05,32,24,04,
100000041,2011-05-24,24,16,25,19,01,26,21,
100000040,2011-05-20,42,33,34,02,47,44,10,
100000039,2011-05-17,01,03,48,11,26,15,28,
100000038,2011-05-13,19,29,42,36,16,21,10,
100000037,2011-05-10,25,38,05,12,42,35,28,
100000036,2011-05-06,22,24,36,44,23,06,03,
100000035,2011-05-03,18,15,24,28,10,43,35,
100000034,2011-04-29,17,07,22,23,01,16,19,
100000033,2011-04-26,37,41,39,40,45,20,08,
100000032,2011-04-22,46,26,22,04,36,21,41,
100000031,2011-04-19,22,35,37,41,46,47,24,
100000030,2011-04-15,47,37,42,28,38,15,33,
100000029,2011-04-12,24,06,29,33,04,14,45,
100000028,2011-04-08,09,38,10,23,37,29,44,
100000027,2011-04-05,20,29,24,28,08,10,32,
100000026,2011-04-01,32,35,30,20,14,43,33,
100000025,2011-03-29,10,18,12,22,04,40,24,
100000024,2011-03-25,43,48,18,39,01,35,02,
100000023,2011-03-22,20,24,47,36,06,08,27,
100000022,2011-03-18,03,15,37,30,23,36,28,
100000021,2011-03-15,41,19,28,30,29,04,10,
100000020,2011-03-11,11,42,13,21,22,05,25,
100000019,2011-03-08,47,25,24,06,01,32,38,
100000018,2011-03-04,23,27,22,16,12,18,41,
100000017,2011-03-01,03,14,27,08,48,31,23,
100000016,2011-02-25,02,28,44,36,20,03,21,
100000015,2011-02-22,32,35,20,15,13,39,11,
100000014,2011-02-18,20,23,38,37,14,26,33,
100000013,2011-02-15,09,15,24,35,33,12,18,
